time,value
1279,323
1280,323
1281,315
1282,311
1283,297
1284,300
1285,300
1286,309
1287,311
1288,311
1289,313
1290,306
1291,306
1292,299
1293,306
1294,313
1295,320
1296,320
1297,313
1298,314
1299,311
1300,310
1301,306
1302,303
1303,303
1304,323
1305,324
1306,326
1307,327
1308,327
1309,313
1310,311
1311,324
1312,322
1313,322
1314,310
1315,310
1316,310
1317,310
1318,305
1319,305
1320,285
1321,292
1322,292
1323,306
1324,298
1325,303
1326,312
1327,312
1328,295
1329,294
1330,301
1331,287
1332,291
1333,291
1334,288
1335,289
1336,298
1337,299
1338,303
1339,307
1340,298
1341,298
1342,298
1343,298
1344,289
1345,291
1346,292
1347,298
1348,301
1349,296
1350,294
1351,304
1352,311
1353,311
1354,312
1355,306
1356,299
1357,299
1358,292
1359,295
1360,296
1361,287
1362,280
1363,280
1364,276
1365,276
1366,280
1367,281
1368,281
1369,289
1370,296
1371,302
1372,296
1373,294
1374,291
1375,290
1376,300
1377,300
1378,294
1379,297
1380,293
1381,295
1382,295
1383,295
1384,292
1385,288
1386,288
1387,288
1388,298
1389,292
1390,288
1391,288
1392,288
1393,302
1394,303
1395,300
1396,311
1397,318
1398,313
1399,311
1400,293
1401,296
1402,296
1403,298
1404,296
1405,294
1406,294
1407,273
1408,280
1409,280
1410,293
1411,287
1412,289
1413,289
1414,295
1415,299
1416,287
1417,288
1418,281
1419,283
1420,280
1421,295
1422,295
1423,298
1424,291
1425,278
1426,294
1427,284
1428,268
1429,268
1430,275
1431,301
1432,307
1433,316
1434,318
1435,317
1436,313
1437,306
1438,316
1439,309
1440,304
1441,304
1442,305
1443,305
1444,305
1445,305
1446,288
1447,288
1448,306
1449,306
1450,284
1451,291
1452,286
1453,286
1454,281
1455,278
1456,281
1457,287
1458,287
1459,269
1460,260
1461,271
1462,275
1463,272
1464,264
1465,263
1466,268
1467,276
1468,297
1469,369
1470,624
1471,624
1472,465
1473,0
1474,289
1475,293
1476,316
1477,316
1478,406
1479,546
1480,392
1481,392
1482,320
1483,313
1484,335
1485,354
1486,354
1487,358
1488,360
1489,360
1490,334
1491,306
1492,291
1493,285
1494,275
1495,274
1496,274
1497,266
1498,260
1499,258
1500,253
1501,249
1502,249
1503,261
1504,265
1505,265
1506,258
1507,260
1508,259
1509,266
1510,267
1511,267
1512,270
1513,270
1514,280
1515,280
1516,271
1517,278
1518,276
1519,269
1520,270
1521,262
1522,262
1523,271
1524,274
1525,262
1526,258
1527,263
1528,260
1529,264
1530,281
1531,275
1532,275
1533,281
1534,281
1535,281
1536,278
1537,278
1538,274
1539,276
1540,282
1541,288
1542,284
1543,285
1544,280
1545,278
1546,278
1547,279
1548,281
1549,281
1550,282
1551,275
1552,275
1553,277
1554,275
1555,275
1556,274
1557,277
1558,275
1559,278
1560,275
1561,284
1562,283
1563,285
1564,275
1565,275
1566,277
1567,276
1568,289
1569,288
1570,288
1571,284
1572,283
1573,294
1574,291
1575,289
1576,289
1577,289
1578,302
1579,291
1580,300
1581,298
1582,298
1583,299
1584,302
1585,299
1586,295
1587,296
1588,308
1589,295
1590,296
1591,298
1592,301
1593,299
1594,296
1595,290
1596,290
1597,291
1598,291
1599,290
1600,290
1601,289
1602,289
1603,286
1604,276
1605,281
1606,280
1607,275
1608,279
1609,279
1610,273
1611,282
1612,282
1613,278
1614,275
1615,282
1616,280
1617,277
1618,286
1619,285
1620,295
1621,299
1622,302
1623,296
1624,292
1625,302
1626,302
1627,302
1628,301
1629,304
1630,301
1631,302
1632,301
1633,299
1634,298
1635,298
1636,296
1637,296
1638,298
1639,296
1640,300
1641,293
1642,288
1643,290
1644,294
1645,298
1646,294
1647,291
1648,295
1649,300
1650,311
1651,307
1652,302
1653,304
1654,312
1655,310
1656,305
1657,301
1658,313
1659,314
1660,326
1661,339
1662,325
1663,328
1664,340
1665,345
1666,316
1667,319
1668,326
1669,327
1670,330
1671,328
1672,320
1673,320
1674,328
1675,342
1676,342
1677,327
1678,320
1679,327
1680,331
1681,336
1682,326
1683,353
1684,353
1685,354
1686,354
1687,374
1688,396
1689,410
1690,410
1691,469
1692,430
1693,465
1694,465
1695,470
1696,428
1697,428
1698,450
1699,450
1700,461
1701,440
1702,440
1703,469
1704,444
1705,451
1706,454
1707,453
1708,453
1709,431
1710,399
1711,380
1712,380
1713,364
1714,370
1715,370
1716,342
1717,310
1718,325
1719,325
1720,272
1721,280
1722,274
1723,289
1724,292
1725,295
1726,295
1727,336
1728,354
1729,358
1730,358
1731,343
1732,343
1733,313
1734,313
1735,307
1736,305
1737,294
1738,300
1739,282
1740,270
1741,257
1742,254
1743,258
1744,262
1745,266
1746,276
1747,271
1748,261
1749,261
1750,259
1751,269
1752,269
1753,273
1754,274
1755,284
1756,274
1757,289
1758,289
1759,319
1760,425
1761,318
1762,318
1763,290
1764,290
1765,286
1766,283
1767,287
1768,295
1769,295
1770,290
1771,292
1772,286
1773,286
1774,275
1775,272
1776,274
1777,269
1778,269
1779,273
1780,273
1781,276
1782,274
1783,266
1784,262
1785,272
1786,271
1787,272
1788,272
1789,275
1790,275
1791,266
1792,255
1793,254
1794,261
1795,253
1796,253
1797,254
1798,258
1799,258
1800,259
1801,259
1802,263
1803,259
1804,254
1805,254
1806,264
1807,262
1808,264
1809,271
1810,270
1811,269
1812,262
1813,261
1814,270
1815,273
1816,273
1817,256
1818,260
1819,265
1820,269
1821,269
1822,259
1823,250
1824,245
1825,245
1826,240
1827,243
1828,242
1829,241
1830,243
1831,243
1832,237
1833,246
1834,244
1835,243
1836,238
1837,227
1838,231
1839,231
1840,234
1841,232
1842,242
1843,233
1844,230
1845,229
1846,239
1847,241
1848,249
1849,254
1850,254
1851,253
1852,253
1853,244
1854,238
1855,230
1856,233
1857,234
1858,233
1859,226
1860,223
1861,223
1862,222
1863,228
1864,236
1865,212
1866,202
1867,215
1868,218
1869,213
1870,209
1871,221
1872,224
1873,222
1874,219
1875,220
1876,226
1877,235
1878,231
1879,228
1880,215
1881,223
1882,224
1883,224
1884,236
1885,233
1886,239
1887,248
1888,249
1889,249
1890,265
1891,267
1892,263
1893,262
1894,261
1895,275
1896,270
1897,272
1898,265
1899,234
1900,255
1901,255
1902,254
1903,257
1904,241
1905,237
1906,236
1907,236
1908,231
1909,225
1910,236
1911,229
1912,226
1913,226
1914,213
1915,213
1916,229
1917,244
1918,229
1919,208
1920,213
1921,221
1922,234
1923,233
1924,226
1925,249
1926,261
1927,271
1928,273
1929,254
1930,277
1931,277
1932,282
1933,284
1934,287
1935,272
1936,266
1937,268
1938,270
1939,264
1940,253
1941,256
1942,253
1943,262
1944,251
1945,251
1946,246
1947,246
1948,229
1949,242
1950,243
1951,242
1952,231
1953,217
1954,218
1955,228
1956,228
1957,228
1958,234
1959,230
1960,226
1961,221
1962,227
1963,217
1964,211
1965,209
1966,175
1967,206
1968,209
1969,205
1970,206
1971,210
1972,217
1973,209
1974,205
1975,205
1976,203
1977,215
1978,201
1979,206
1980,207
1981,198
1982,189
1983,195
1984,191
1985,203
1986,196
1987,193
1988,194
1989,191
1990,190
1991,189
1992,189
1993,186
1994,193
1995,185
1996,185
1997,191
1998,195
1999,193
2000,204
2001,201
2002,198
2003,196
2004,194
2005,193
2006,196
2007,178
2008,179
2009,179
2010,175
2011,178
2012,183
2013,189
2014,176
2015,176
2016,174
2017,191
2018,196
2019,182
2020,194
2021,194
2022,189
2023,189
2024,173
2025,168
2026,176
2027,176
2028,170
2029,173
2030,180
2031,173
2032,170
2033,170
2034,165
2035,171
2036,169
2037,155
2038,150
2039,164
2040,183
2041,186
2042,174
2043,186
2044,176
2045,168
2046,159
2047,171
2048,178
2049,192
2050,190
2051,186
2052,181
2053,168
2054,180
2055,173
2056,163
2057,169
2058,178
2059,193
2060,190
2061,184
2062,174
2063,170
2064,161
2065,156
2066,160
2067,166
2068,177
2069,185
2070,183
2071,175
2072,170
2073,179
2074,178
2075,179
2076,170
2077,159
2078,158
2079,184
2080,168
2081,180
2082,168
2083,168
2084,172
2085,177
2086,167
2087,164
2088,143
2089,155
2090,151
2091,149
2092,164
2093,161
2094,164
2095,153
